2025-05-16 16:39:41,518 - ERROR - Failed to process beatmapset 2211370: permission denied for table beatmapsets

2025-05-16 16:39:41,522 - ERROR - Failed to process beatmapset 1522428: permission denied for table beatmapsets

2025-05-16 16:39:41,525 - ERROR - Failed to process beatmapset 2366248: permission denied for table beatmapsets

2025-05-16 16:39:41,529 - ERROR - Failed to process beatmapset 2363664: permission denied for table beatmapsets

2025-05-16 16:39:41,532 - ERROR - Failed to process beatmapset 2352142: permission denied for table beatmapsets

2025-05-16 16:39:41,536 - ERROR - Failed to process beatmapset 1839965: permission denied for table beatmapsets

2025-05-16 16:39:41,540 - ERROR - Failed to process beatmapset 2354377: permission denied for table beatmapsets

2025-05-16 16:39:41,544 - ERROR - Failed to process beatmapset 2318075: permission denied for table beatmapsets

2025-05-16 16:39:41,547 - ERROR - Failed to process beatmapset 2217823: permission denied for table beatmapsets

2025-05-16 16:39:41,551 - ERROR - Failed to process beatmapset 2321532: numeric field overflow
DETAIL:  A field with precision 3, scale 2 must round to an absolute value less than 10^1.

2025-05-16 16:39:41,554 - ERROR - Failed to process beatmapset 2364061: numeric field overflow
DETAIL:  A field with precision 3, scale 2 must round to an absolute value less than 10^1.

2025-05-16 16:39:41,558 - ERROR - Failed to process beatmapset 2254957: permission denied for table beatmapsets

2025-05-16 16:39:41,561 - ERROR - Failed to process beatmapset 2283423: permission denied for table beatmapsets

2025-05-16 16:39:41,564 - ERROR - Failed to process beatmapset 2129838: permission denied for table beatmapsets

2025-05-16 16:39:41,568 - ERROR - Failed to process beatmapset 2362391: permission denied for table beatmapsets

2025-05-16 16:39:41,571 - ERROR - Failed to process beatmapset 2215048: permission denied for table beatmapsets

2025-05-16 16:39:41,575 - ERROR - Failed to process beatmapset 2364355: permission denied for table beatmapsets

2025-05-16 16:39:41,579 - ERROR - Failed to process beatmapset 2253858: permission denied for table beatmapsets

2025-05-16 16:39:41,582 - ERROR - Failed to process beatmapset 2350860: permission denied for table beatmapsets

2025-05-16 16:39:41,585 - ERROR - Failed to process beatmapset 2162785: permission denied for table beatmapsets

2025-05-16 16:39:41,588 - ERROR - Failed to process beatmapset 2349606: permission denied for table beatmapsets

2025-05-16 16:39:42,793 - ERROR - Failed to process beatmapset 2203078: permission denied for table beatmapsets

2025-05-16 16:39:42,796 - ERROR - Failed to process beatmapset 2272223: permission denied for table beatmapsets

2025-05-16 16:39:42,798 - ERROR - Failed to process beatmapset 2339429: permission denied for table beatmapsets

2025-05-16 16:39:42,801 - ERROR - Failed to process beatmapset 2196828: permission denied for table beatmapsets

2025-05-16 16:39:42,804 - ERROR - Failed to process beatmapset 1412241: permission denied for table beatmapsets

2025-05-16 16:39:42,806 - ERROR - Failed to process beatmapset 92234: permission denied for table beatmapsets

2025-05-16 16:39:42,809 - ERROR - Failed to process beatmapset 2337941: permission denied for table beatmapsets

2025-05-16 16:39:42,812 - ERROR - Failed to process beatmapset 1809653: permission denied for table beatmapsets

